#x y exx eyy exy
0.000000e+00 0.000000e+00 5.291870e+00 5.374796e+00 7.973560e+00
0.000000e+00 1.000000e+02 5.291406e+00 5.375261e+00 7.973135e+00
0.000000e+00 2.000000e+02 5.290931e+00 5.375736e+00 7.972701e+00
0.000000e+00 3.000000e+02 5.290445e+00 5.376222e+00 7.972257e+00
0.000000e+00 4.000000e+02 5.289949e+00 5.376718e+00 7.971803e+00
0.000000e+00 5.000000e+02 5.289441e+00 5.377225e+00 7.971339e+00
0.000000e+00 6.000000e+02 5.288922e+00 5.377744e+00 7.970865e+00
0.000000e+00 7.000000e+02 5.288391e+00 5.378275e+00 7.970379e+00
0.000000e+00 8.000000e+02 5.287848e+00 5.378818e+00 7.969882e+00
0.000000e+00 9.000000e+02 5.287292e+00 5.379374e+00 7.969373e+00
0.000000e+00 1.000000e+03 5.286724e+00 5.379943e+00 7.968852e+00
0.000000e+00 1.100000e+03 5.286141e+00 5.380525e+00 7.968318e+00
0.000000e+00 1.200000e+03 5.285545e+00 5.381122e+00 7.967772e+00
0.000000e+00 1.300000e+03 5.284934e+00 5.381732e+00 7.967211e+00
0.000000e+00 1.400000e+03 5.284309e+00 5.382358e+00 7.966637e+00
0.000000e+00 1.500000e+03 5.283668e+00 5.382999e+00 7.966048e+00
0.000000e+00 1.600000e+03 5.283011e+00 5.383655e+00 7.965444e+00
0.000000e+00 1.700000e+03 5.282338e+00 5.384329e+00 7.964824e+00
0.000000e+00 1.800000e+03 5.281648e+00 5.385019e+00 7.964187e+00
0.000000e+00 1.900000e+03 5.280940e+00 5.385727e+00 7.963534e+00
0.000000e+00 2.000000e+03 5.280214e+00 5.386453e+00 7.962863e+00
0.000000e+00 2.100000e+03 5.279469e+00 5.387198e+00 7.962174e+00
0.000000e+00 2.200000e+03 5.278704e+00 5.387962e+00 7.961465e+00
0.000000e+00 2.300000e+03 5.277920e+00 5.388747e+00 7.960737e+00
0.000000e+00 2.400000e+03 5.277114e+00 5.389553e+00 7.959987e+00
0.000000e+00 2.500000e+03 5.276286e+00 5.390380e+00 7.959216e+00
0.000000e+00 2.600000e+03 5.275436e+00 5.391231e+00 7.958423e+00
0.000000e+00 2.700000e+03 5.274562e+00 5.392104e+00 7.957605e+00
0.000000e+00 2.800000e+03 5.273664e+00 5.393002e+00 7.956763e+00
0.000000e+00 2.900000e+03 5.272741e+00 5.393926e+00 7.955895e+00
0.000000e+00 3.000000e+03 5.271791e+00 5.394875e+00 7.955001e+00
0.000000e+00 3.100000e+03 5.270814e+00 5.395852e+00 7.954078e+00
0.000000e+00 3.200000e+03 5.269809e+00 5.396858e+00 7.953125e+00
